,Domain,Verdict,Entropy,Vowel,Consonant,Length,VN,VowelConsRatio,EntropyLength,CountNum,ngram2ScoreLegit,ngram3ScoreLegit,ngram4ScoreLegit,ngram5ScoreLegit,ngramTotalScoreLegit,ngram2ScoreDGA,ngram3ScoreDGA,ngram4ScoreDGA,ngram5ScoreDGA,ngramTotalScoreDGA
4395,ehem47bm3ks4sxm5p5.cn,dga,3.46132,2,10,18,1,0.2,0.1923,6,0,0,0,0,0,1,0,0,0,1
4214,sfjcomvgqavu.tv,dga,3.4183,3,9,12,1,0.33333,0.28486,0,1,1,0,0,2,2,1,0,0,3
2888,owpgqgeoya.net,dga,2.92193,4,6,10,1,0.66667,0.29219,0,1,0,0,0,1,1,0,1,0,2
1910,ombiabokceogi.ddns.net,dga,3.57243,7,10,18,1,0.7,0.19847,0,3,1,0,0,4,6,4,3,2,15
407,abc.net.au,legit,2.80735,2,4,7,0,0.5,0.40105,0,0,0,0,0,0,2,0,0,0,2
652,kstatic.googleusercontent.com,legit,3.62347,9,15,25,0,0.6,0.14494,0,15,8,4,3,30,12,4,0,0,16
4917,contactinfluenceaccountborrow.com,dga,3.4661,11,18,29,1,0.61111,0.11952,0,11,1,0,0,12,10,2,1,0,13
1942,skwggeicquuacgkw.org,dga,3.20282,5,11,16,1,0.45455,0.20018,0,2,0,0,0,2,3,0,0,0,3
1684,dpuumdqnkg.com,dga,2.92193,2,8,10,1,0.25,0.29219,0,0,0,0,0,0,0,0,0,0,0
2987,anigraph.ir,legit,2.75,3,5,8,0,0.6,0.34375,0,2,0,0,0,2,3,0,0,0,3
3278,worldwidebusinesscentre.com,legit,3.53422,8,15,23,0,0.53333,0.15366,0,7,1,0,0,8,9,3,0,0,12
